Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
cuBLAS,16,16,64,2,4,1.570248,5601.723737,28.738815
Outer-Product + No Remainder,16,16,64,2,4,0.737454,11927.652061,61.193054
Inner Product + No Remainder,16,16,64,2,4,0.715245,12298.016181,63.093152
Inner Product + Remainder,16,16,64,2,4,0.717642,12256.936842,62.882401
cuBLAS,16,16,8,2,8,1.403539,6267.081567,32.152335
Outer-Product + No Remainder,16,16,8,2,8,1.114376,7893.290242,40.495358
Inner Product + No Remainder,16,16,8,2,8,1.146136,7674.560712,39.373198
Inner Product + Remainder,16,16,8,2,8,1.183101,7434.778077,38.143029
cuBLAS,16,16,8,2,2,0.735020,11967.140589,84.685946
Outer-Product + No Remainder,16,16,8,2,2,1.409743,6239.501471,44.154080
Inner Product + No Remainder,16,16,8,2,2,1.409208,6241.870964,44.170848
Inner Product + Remainder,16,16,8,2,2,1.734622,5070.898827,35.884417
cuBLAS,16,16,16,2,2,0.726401,12109.136105,85.690783
Outer-Product + No Remainder,16,16,16,2,2,1.339754,6565.454283,46.460698
Inner Product + No Remainder,16,16,16,2,2,1.341968,6554.622545,46.384047
Inner Product + Remainder,16,16,16,2,2,1.512950,5813.868665,41.142073
cuBLAS,16,16,32,2,8,1.384672,6352.474677,32.590431
Outer-Product + No Remainder,16,16,32,2,8,1.106625,7948.578726,40.779007
Inner Product + No Remainder,16,16,32,2,8,1.074737,8184.412120,41.988915
Inner Product + Remainder,16,16,32,2,8,1.105650,7955.586125,40.814957
cuBLAS,16,16,32,2,2,0.727435,12091.929934,85.569023
Outer-Product + No Remainder,16,16,32,2,2,1.292538,6805.287301,48.157886
Inner Product + No Remainder,16,16,32,2,2,1.291946,6808.408433,48.179973
Inner Product + Remainder,16,16,32,2,2,1.340708,6560.782043,46.427635
cuBLAS,16,16,64,2,2,0.727925,12083.793498,85.511445
Outer-Product + No Remainder,16,16,64,2,2,1.293691,6799.221058,48.114958
Inner Product + No Remainder,16,16,64,2,2,1.291649,6809.972647,48.191042
Inner Product + Remainder,16,16,64,2,2,1.324252,6642.312003,47.004585
cuBLAS,16,16,64,2,8,1.385391,6349.175614,32.573506
Outer-Product + No Remainder,16,16,64,2,8,1.103111,7973.896848,40.908898
Inner Product + No Remainder,16,16,64,2,8,1.101179,7987.886966,40.980672
Inner Product + Remainder,16,16,64,2,8,1.101456,7985.877407,40.970362
cuBLAS,16,16,8,2,4,0.728498,12074.284976,85.444158
Outer-Product + No Remainder,16,16,8,2,4,1.183064,7435.010518,52.614148
Inner Product + No Remainder,16,16,8,2,4,1.180086,7453.774816,52.746934
Inner Product + Remainder,16,16,8,2,4,1.270044,6925.817181,49.010821
cuBLAS,16,16,16,2,4,0.730426,12042.411567,85.218604
Outer-Product + No Remainder,16,16,16,2,4,1.137089,7735.627451,54.741475
Inner Product + No Remainder,16,16,16,2,4,1.134561,7752.862639,54.863441
Inner Product + Remainder,16,16,16,2,4,1.185844,7417.577222,52.490780
cuBLAS,16,16,8,4,2,1.390828,6324.356038,32.446173
Outer-Product + No Remainder,16,16,8,4,2,0.737905,11920.367112,61.155680
Inner Product + No Remainder,16,16,8,4,2,0.754673,11655.499115,59.796813
Inner Product + Remainder,16,16,8,4,2,0.879589,10000.233019,51.304716
cuBLAS,16,16,32,2,4,0.736493,11943.211669,84.516612
Outer-Product + No Remainder,16,16,32,2,4,1.109485,7928.083090,56.103395
Inner Product + No Remainder,16,16,32,2,4,1.107638,7941.305340,56.196963
Inner Product + Remainder,16,16,32,2,4,1.149224,7653.942920,54.163431
cuBLAS,16,16,64,2,4,0.740357,11880.880556,84.075524
Outer-Product + No Remainder,16,16,64,2,4,1.101784,7983.498229,56.495543
Inner Product + No Remainder,16,16,64,2,4,1.101570,7985.049091,56.506517
Inner Product + Remainder,16,16,64,2,4,1.140455,7712.790541,54.579869
cuBLAS,16,16,16,4,2,1.370250,6419.335016,32.933448
Outer-Product + No Remainder,16,16,16,4,2,0.692915,12694.331233,65.126388
Inner Product + No Remainder,16,16,16,4,2,0.675900,13013.902465,66.765901
Inner Product + Remainder,16,16,16,4,2,0.718123,12248.732022,62.840307
cuBLAS,16,16,8,2,8,0.728719,12070.622036,85.418237
Outer-Product + No Remainder,16,16,8,2,8,1.510351,5823.872649,41.212866
Inner Product + No Remainder,16,16,8,2,8,1.512029,5817.409121,41.167127
Inner Product + Remainder,16,16,8,2,8,1.549279,5677.539055,40.177331
cuBLAS,16,16,16,2,8,0.729014,12065.742919,85.383709
Outer-Product + No Remainder,16,16,16,2,8,1.465372,6002.633053,42.477871
Inner Product + No Remainder,16,16,16,2,8,1.459108,6028.404727,42.660246
Inner Product + Remainder,16,16,16,2,8,1.495206,5882.864873,41.630327
cuBLAS,16,16,32,4,2,1.367083,6434.203212,33.009727
Outer-Product + No Remainder,16,16,32,4,2,0.637458,13798.703219,70.792205
Inner Product + No Remainder,16,16,32,4,2,0.635611,13838.797409,70.997902
Inner Product + Remainder,16,16,32,4,2,0.644635,13645.082699,70.004078
cuBLAS,16,16,32,2,8,0.729243,12061.952908,85.356889
Outer-Product + No Remainder,16,16,32,2,8,1.450147,6065.657253,42.923865
Inner Product + No Remainder,16,16,32,2,8,1.444928,6087.564508,43.078892
Inner Product + Remainder,16,16,32,2,8,1.449514,6068.306863,42.942615
cuBLAS,16,16,64,4,2,1.327710,6625.012772,33.988648
Outer-Product + No Remainder,16,16,64,4,2,0.658649,13354.740806,68.514522
Inner Product + No Remainder,16,16,64,4,2,0.618069,14231.578992,73.013010
Inner Product + Remainder,16,16,64,4,2,0.665590,13215.473521,67.800031
cuBLAS,16,16,64,2,8,0.728111,12080.696928,85.489532
Outer-Product + No Remainder,16,16,64,2,8,1.497149,5875.229158,41.576293
Inner Product + No Remainder,16,16,64,2,8,1.491193,5898.696696,41.742362
Inner Product + Remainder,16,16,64,2,8,1.521266,5782.087931,40.917175
cuBLAS,16,16,8,4,2,0.730214,12045.909393,85.243357
Outer-Product + No Remainder,16,16,8,4,2,1.087240,8090.299337,57.251325
Inner Product + No Remainder,16,16,8,4,2,1.099714,7998.531449,56.601926
Inner Product + Remainder,16,16,8,4,2,1.256769,6998.974017,49.528518
cuBLAS,16,16,8,4,4,1.337170,6578.139148,33.748169
Outer-Product + No Remainder,16,16,8,4,4,0.615717,14285.932603,73.291863
Inner Product + No Remainder,16,16,8,4,4,0.611430,14386.098571,73.805750
Inner Product + Remainder,16,16,8,4,4,0.816360,10774.769963,55.278363
cuBLAS,16,16,16,4,2,0.731812,12019.605328,85.057215
Outer-Product + No Remainder,16,16,16,4,2,1.005479,8748.159154,61.906696
Inner Product + No Remainder,16,16,16,4,2,1.017347,8646.108580,61.184531
Inner Product + Remainder,16,16,16,4,2,1.097176,8017.027243,56.732812
cuBLAS,16,16,32,4,2,0.729793,12052.857717,85.292527
Outer-Product + No Remainder,16,16,32,4,2,0.971222,9056.723684,64.090265
Inner Product + No Remainder,16,16,32,4,2,0.968482,9082.355176,64.271647
Inner Product + Remainder,16,16,32,4,2,0.992483,8862.716481,62.717366
cuBLAS,16,16,64,4,2,0.729159,12063.347250,85.366756
Outer-Product + No Remainder,16,16,64,4,2,0.965668,9108.814917,64.458891
Inner Product + No Remainder,16,16,64,4,2,0.969964,9068.472087,64.173403
Inner Product + Remainder,16,16,64,4,2,0.980390,8972.035046,63.490963
cuBLAS,16,16,16,4,4,1.351701,6507.423690,33.385374
Outer-Product + No Remainder,16,16,16,4,4,0.570177,15426.961525,79.145743
Inner Product + No Remainder,16,16,16,4,4,0.632351,13910.147032,71.363951
Inner Product + Remainder,16,16,16,4,4,0.873176,10073.680971,51.681530
cuBLAS,16,16,8,4,4,0.730397,12042.887555,85.221973
Outer-Product + No Remainder,16,16,8,4,4,0.850897,10337.434546,73.153267
Inner Product + No Remainder,16,16,8,4,4,0.848011,10372.621302,73.402267
Inner Product + Remainder,16,16,8,4,4,1.016825,8650.549533,61.215958
cuBLAS,16,16,16,4,4,0.727777,12086.252031,85.528843
Outer-Product + No Remainder,16,16,16,4,4,0.835576,10526.975404,74.494560
Inner Product + No Remainder,16,16,16,4,4,0.951410,9245.325321,65.424912
Inner Product + Remainder,16,16,16,4,4,1.028107,8555.623805,60.544212
cuBLAS,16,16,32,4,4,1.337893,6574.587798,33.729950
Outer-Product + No Remainder,16,16,32,4,4,0.568699,15467.034067,79.351330
Inner Product + No Remainder,16,16,32,4,4,0.571911,15380.172860,78.905701
Inner Product + Remainder,16,16,32,4,4,0.987511,8907.337975,45.697779
cuBLAS,16,16,32,4,4,0.728387,12076.125375,85.457181
Outer-Product + No Remainder,16,16,32,4,4,0.820518,10720.165845,75.861680
Inner Product + No Remainder,16,16,32,4,4,0.823041,10687.308233,75.629162
Inner Product + Remainder,16,16,32,4,4,1.293426,6800.618025,48.124844
cuBLAS,16,16,64,4,4,0.730641,12038.878562,85.193603
Outer-Product + No Remainder,16,16,64,4,4,0.843530,10427.716952,73.792154
Inner Product + No Remainder,16,16,64,4,4,0.858378,10247.337116,72.515689
Inner Product + Remainder,16,16,64,4,4,1.079242,8150.252194,57.675584
